order_details_id,order_id,pizza_id,quantity,date,time,pizza_type_id,size,price,name,category,ingredients,ingredient_list
16,9,green_garden_s,1,2015-01-01,12:52:01,green_garden,S,12,"The Green Garden Pizza",Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese","['Spinach', 'Mushrooms', 'Tomatoes', 'Green Olives', 'Feta Cheese']"
17,9,ital_cpcllo_l,1,2015-01-01,12:52:01,ital_cpcllo,L,20.5,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
18,9,ital_supr_l,1,2015-01-01,12:52:01,ital_supr,L,20.75,"The Italian Supreme Pizza",Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic","['Calabrese Salami', 'Capocollo', 'Tomatoes', 'Red Onions', 'Green Olives', 'Garlic']"
19,9,ital_supr_s,1,2015-01-01,12:52:01,ital_supr,S,12.5,"The Italian Supreme Pizza",Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic","['Calabrese Salami', 'Capocollo', 'Tomatoes', 'Red Onions', 'Green Olives', 'Garlic']"
20,9,mexicana_s,1,2015-01-01,12:52:01,mexicana,S,12,"The Mexicana Pizza",Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic","['Tomatoes', 'Red Peppers', 'Jalapeno Peppers', 'Red Onions', 'Cilantro', 'Corn', 'Chipotle Sauce', 'Garlic']"
21,9,spicy_ital_l,1,2015-01-01,12:52:01,spicy_ital,L,20.75,"The Spicy Italian Pizza",Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic","['Capocollo', 'Tomatoes', 'Goat Cheese', 'Artichokes', 'Peperoncini verdi', 'Garlic']"
22,9,spin_pesto_l,1,2015-01-01,12:52:01,spin_pesto,L,20.75,"The Spinach Pesto Pizza",Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce","['Spinach', 'Artichokes', 'Tomatoes', 'Sun-dried Tomatoes', 'Garlic', 'Pesto Sauce']"
23,9,veggie_veg_s,1,2015-01-01,12:52:01,veggie_veg,S,12,"The Vegetables + Vegetables Pizza",Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic","['Mushrooms', 'Tomatoes', 'Red Peppers', 'Green Peppers', 'Red Onions', 'Zucchini', 'Spinach', 'Garlic']"
24,10,mexicana_l,1,2015-01-01,13:00:15,mexicana,L,20.25,"The Mexicana Pizza",Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic","['Tomatoes', 'Red Peppers', 'Jalapeno Peppers', 'Red Onions', 'Cilantro', 'Corn', 'Chipotle Sauce', 'Garlic']"
25,10,southw_ckn_l,1,2015-01-01,13:00:15,southw_ckn,L,20.75,"The Southwest Chicken Pizza",Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce","['Chicken', 'Tomatoes', 'Red Peppers', 'Red Onions', 'Jalapeno Peppers', 'Corn', 'Cilantro', 'Chipotle Sauce']"
26,11,bbq_ckn_l,1,2015-01-01,13:02:59,bbq_ckn,L,20.75,"The Barbecue Chicken Pizza",Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce","['Barbecued Chicken', 'Red Peppers', 'Green Peppers', 'Tomatoes', 'Red Onions', 'Barbecue Sauce']"
27,11,cali_ckn_l,1,2015-01-01,13:02:59,cali_ckn,L,20.75,"The California Chicken Pizza",Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese","['Chicken', 'Artichoke', 'Spinach', 'Garlic', 'Jalapeno Peppers', 'Fontina Cheese', 'Gouda Cheese']"
28,11,cali_ckn_m,1,2015-01-01,13:02:59,cali_ckn,M,16.75,"The California Chicken Pizza",Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese","['Chicken', 'Artichoke', 'Spinach', 'Garlic', 'Jalapeno Peppers', 'Fontina Cheese', 'Gouda Cheese']"
29,11,pepperoni_l,1,2015-01-01,13:02:59,pepperoni,L,15.25,"The Pepperoni Pizza",Classic,"Mozzarella Cheese, Pepperoni","['Mozzarella Cheese', 'Pepperoni']"
30,12,cali_ckn_l,1,2015-01-01,13:04:41,cali_ckn,L,20.75,"The California Chicken Pizza",Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese","['Chicken', 'Artichoke', 'Spinach', 'Garlic', 'Jalapeno Peppers', 'Fontina Cheese', 'Gouda Cheese']"
31,12,cali_ckn_s,1,2015-01-01,13:04:41,cali_ckn,S,12.75,"The California Chicken Pizza",Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese","['Chicken', 'Artichoke', 'Spinach', 'Garlic', 'Jalapeno Peppers', 'Fontina Cheese', 'Gouda Cheese']"
32,12,ckn_pesto_l,1,2015-01-01,13:04:41,ckn_pesto,L,20.75,"The Chicken Pesto Pizza",Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce","['Chicken', 'Tomatoes', 'Red Peppers', 'Spinach', 'Garlic', 'Pesto Sauce']"
33,12,ital_supr_m,1,2015-01-01,13:04:41,ital_supr,M,16.5,"The Italian Supreme Pizza",Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic","['Calabrese Salami', 'Capocollo', 'Tomatoes', 'Red Onions', 'Green Olives', 'Garlic']"
34,13,mexicana_l,1,2015-01-01,13:11:55,mexicana,L,20.25,"The Mexicana Pizza",Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic","['Tomatoes', 'Red Peppers', 'Jalapeno Peppers', 'Red Onions', 'Cilantro', 'Corn', 'Chipotle Sauce', 'Garlic']"
35,14,the_greek_s,1,2015-01-01,13:14:19,the_greek,S,12,"The Greek Pizza",Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions","['Kalamata Olives', 'Feta Cheese', 'Tomatoes', 'Garlic', 'Beef Chuck Roast', 'Red Onions']"
36,15,big_meat_s,1,2015-01-01,13:33:00,big_meat,S,12,"The Big Meat Pizza",Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage","['Bacon', 'Pepperoni', 'Italian Sausage', 'Chorizo Sausage']"
37,15,five_cheese_l,1,2015-01-01,13:33:00,five_cheese,L,18.5,"The Five Cheese Pizza",Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic","['Mozzarella Cheese', 'Provolone Cheese', 'Smoked Gouda Cheese', 'Romano Cheese', 'Blue Cheese', 'Garlic']"
38,15,soppressata_l,1,2015-01-01,13:33:00,soppressata,L,20.75,"The Soppressata Pizza",Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic","['Soppressata Salami', 'Fontina Cheese', 'Mozzarella Cheese', 'Mushrooms', 'Garlic']"
39,15,the_greek_s,1,2015-01-01,13:33:00,the_greek,S,12,"The Greek Pizza",Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions","['Kalamata Olives', 'Feta Cheese', 'Tomatoes', 'Garlic', 'Beef Chuck Roast', 'Red Onions']"
40,16,four_cheese_l,1,2015-01-01,13:34:07,four_cheese,L,17.95,"The Four Cheese Pizza",Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic","['Ricotta Cheese', 'Gorgonzola Piccante Cheese', 'Mozzarella Cheese', 'Parmigiano Reggiano Cheese', 'Garlic']"
41,16,napolitana_s,1,2015-01-01,13:34:07,napolitana,S,12,"The Napolitana Pizza",Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic","['Tomatoes', 'Anchovies', 'Green Olives', 'Red Onions', 'Garlic']"
42,16,thai_ckn_l,1,2015-01-01,13:34:07,thai_ckn,L,20.75,"The Thai Chicken Pizza",Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce","['Chicken', 'Pineapple', 'Tomatoes', 'Red Peppers', 'Thai Sweet Chilli Sauce']"
43,17,bbq_ckn_l,1,2015-01-01,13:53:00,bbq_ckn,L,20.75,"The Barbecue Chicken Pizza",Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce","['Barbecued Chicken', 'Red Peppers', 'Green Peppers', 'Tomatoes', 'Red Onions', 'Barbecue Sauce']"
44,17,calabrese_m,1,2015-01-01,13:53:00,calabrese,M,16.25,"The Calabrese Pizza",Supreme,"Â‘Nduja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic","['\x91Nduja Salami', 'Pancetta', 'Tomatoes', 'Red Onions', 'Friggitello Peppers', 'Garlic']"
45,17,five_cheese_l,1,2015-01-01,13:53:00,five_cheese,L,18.5,"The Five Cheese Pizza",Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic","['Mozzarella Cheese', 'Provolone Cheese', 'Smoked Gouda Cheese', 'Romano Cheese', 'Blue Cheese', 'Garlic']"
46,17,four_cheese_m,1,2015-01-01,13:53:00,four_cheese,M,14.75,"The Four Cheese Pizza",Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic","['Ricotta Cheese', 'Gorgonzola Piccante Cheese', 'Mozzarella Cheese', 'Parmigiano Reggiano Cheese', 'Garlic']"
47,17,ital_supr_m,1,2015-01-01,13:53:00,ital_supr,M,16.5,"The Italian Supreme Pizza",Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic","['Calabrese Salami', 'Capocollo', 'Tomatoes', 'Red Onions', 'Green Olives', 'Garlic']"
48,17,ital_veggie_s,1,2015-01-01,13:53:00,ital_veggie,S,12.75,"The Italian Vegetables Pizza",Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce","['Eggplant', 'Artichokes', 'Tomatoes', 'Zucchini', 'Red Peppers', 'Garlic', 'Pesto Sauce']"
49,17,mediterraneo_m,2,2015-01-01,13:53:00,mediterraneo,M,16,"The Mediterranean Pizza",Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions","['Spinach', 'Artichokes', 'Kalamata Olives', 'Sun-dried Tomatoes', 'Feta Cheese', 'Plum Tomatoes', 'Red Onions']"
50,17,mexicana_l,1,2015-01-01,13:53:00,mexicana,L,20.25,"The Mexicana Pizza",Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic","['Tomatoes', 'Red Peppers', 'Jalapeno Peppers', 'Red Onions', 'Cilantro', 'Corn', 'Chipotle Sauce', 'Garlic']"
51,17,peppr_salami_s,1,2015-01-01,13:53:00,peppr_salami,S,12.5,"The Pepper Salami Pizza",Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic","['Genoa Salami', 'Capocollo', 'Pepperoni', 'Tomatoes', 'Asiago Cheese', 'Garlic']"
52,17,spinach_fet_l,1,2015-01-01,13:53:00,spinach_fet,L,20.25,"The Spinach and Feta Pizza",Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic","['Spinach', 'Mushrooms', 'Red Onions', 'Feta Cheese', 'Garlic']"
53,18,napolitana_l,1,2015-01-01,13:57:08,napolitana,L,20.5,"The Napolitana Pizza",Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic","['Tomatoes', 'Anchovies', 'Green Olives', 'Red Onions', 'Garlic']"
54,19,ital_cpcllo_l,1,2015-01-01,13:59:09,ital_cpcllo,L,20.5,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
55,19,sicilian_l,1,2015-01-01,13:59:09,sicilian,L,20.25,"The Sicilian Pizza",Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic","['Coarse Sicilian Salami', 'Tomatoes', 'Green Olives', 'Luganega Sausage', 'Onions', 'Garlic']"
56,20,big_meat_s,1,2015-01-01,14:03:08,big_meat,S,12,"The Big Meat Pizza",Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage","['Bacon', 'Pepperoni', 'Italian Sausage', 'Chorizo Sausage']"
57,20,five_cheese_l,1,2015-01-01,14:03:08,five_cheese,L,18.5,"The Five Cheese Pizza",Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic","['Mozzarella Cheese', 'Provolone Cheese', 'Smoked Gouda Cheese', 'Romano Cheese', 'Blue Cheese', 'Garlic']"
58,21,ital_cpcllo_l,1,2015-01-01,14:14:29,ital_cpcllo,L,20.5,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
59,22,five_cheese_l,1,2015-01-01,14:16:26,five_cheese,L,18.5,"The Five Cheese Pizza",Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic","['Mozzarella Cheese', 'Provolone Cheese', 'Smoked Gouda Cheese', 'Romano Cheese', 'Blue Cheese', 'Garlic']"
60,22,ital_cpcllo_m,1,2015-01-01,14:16:26,ital_cpcllo,M,16,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
61,22,southw_ckn_l,1,2015-01-01,14:16:26,southw_ckn,L,20.75,"The Southwest Chicken Pizza",Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce","['Chicken', 'Tomatoes', 'Red Peppers', 'Red Onions', 'Jalapeno Peppers', 'Corn', 'Cilantro', 'Chipotle Sauce']"
62,23,southw_ckn_s,1,2015-01-01,14:19:03,southw_ckn,S,12.75,"The Southwest Chicken Pizza",Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce","['Chicken', 'Tomatoes', 'Red Peppers', 'Red Onions', 'Jalapeno Peppers', 'Corn', 'Cilantro', 'Chipotle Sauce']"
63,24,bbq_ckn_m,1,2015-01-01,14:23:01,bbq_ckn,M,16.75,"The Barbecue Chicken Pizza",Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce","['Barbecued Chicken', 'Red Peppers', 'Green Peppers', 'Tomatoes', 'Red Onions', 'Barbecue Sauce']"
64,24,ital_cpcllo_m,1,2015-01-01,14:23:01,ital_cpcllo,M,16,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
65,24,pepperoni_m,1,2015-01-01,14:23:01,pepperoni,M,12.5,"The Pepperoni Pizza",Classic,"Mozzarella Cheese, Pepperoni","['Mozzarella Cheese', 'Pepperoni']"
66,24,prsc_argla_s,1,2015-01-01,14:23:01,prsc_argla,S,12.5,"The Prosciutto and Arugula Pizza",Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese","['Prosciutto di San Daniele', 'Arugula', 'Mozzarella Cheese']"
67,25,sicilian_m,1,2015-01-01,14:44:44,sicilian,M,16.25,"The Sicilian Pizza",Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic","['Coarse Sicilian Salami', 'Tomatoes', 'Green Olives', 'Luganega Sausage', 'Onions', 'Garlic']"
68,25,thai_ckn_l,1,2015-01-01,14:44:44,thai_ckn,L,20.75,"The Thai Chicken Pizza",Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce","['Chicken', 'Pineapple', 'Tomatoes', 'Red Peppers', 'Thai Sweet Chilli Sauce']"
69,26,classic_dlx_s,1,2015-01-01,14:54:26,classic_dlx,S,12,"The Classic Deluxe Pizza",Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon","['Pepperoni', 'Mushrooms', 'Red Onions', 'Red Peppers', 'Bacon']"
70,26,veggie_veg_l,1,2015-01-01,14:54:26,veggie_veg,L,20.25,"The Vegetables + Vegetables Pizza",Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic","['Mushrooms', 'Tomatoes', 'Red Peppers', 'Green Peppers', 'Red Onions', 'Zucchini', 'Spinach', 'Garlic']"
71,27,bbq_ckn_l,1,2015-01-01,15:11:17,bbq_ckn,L,20.75,"The Barbecue Chicken Pizza",Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce","['Barbecued Chicken', 'Red Peppers', 'Green Peppers', 'Tomatoes', 'Red Onions', 'Barbecue Sauce']"
72,27,classic_dlx_m,1,2015-01-01,15:11:17,classic_dlx,M,16,"The Classic Deluxe Pizza",Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon","['Pepperoni', 'Mushrooms', 'Red Onions', 'Red Peppers', 'Bacon']"
73,27,spinach_fet_l,1,2015-01-01,15:11:17,spinach_fet,L,20.25,"The Spinach and Feta Pizza",Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic","['Spinach', 'Mushrooms', 'Red Onions', 'Feta Cheese', 'Garlic']"
74,28,ckn_alfredo_s,1,2015-01-01,15:35:46,ckn_alfredo,S,12.75,"The Chicken Alfredo Pizza",Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce","['Chicken', 'Red Onions', 'Red Peppers', 'Mushrooms', 'Asiago Cheese', 'Alfredo Sauce']"
75,29,green_garden_s,1,2015-01-01,15:41:01,green_garden,S,12,"The Green Garden Pizza",Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese","['Spinach', 'Mushrooms', 'Tomatoes', 'Green Olives', 'Feta Cheese']"
76,30,thai_ckn_l,1,2015-01-01,15:41:25,thai_ckn,L,20.75,"The Thai Chicken Pizza",Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce","['Chicken', 'Pineapple', 'Tomatoes', 'Red Peppers', 'Thai Sweet Chilli Sauce']"
77,31,mexicana_m,1,2015-01-01,15:50:18,mexicana,M,16,"The Mexicana Pizza",Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic","['Tomatoes', 'Red Peppers', 'Jalapeno Peppers', 'Red Onions', 'Cilantro', 'Corn', 'Chipotle Sauce', 'Garlic']"
78,31,pepperoni_s,1,2015-01-01,15:50:18,pepperoni,S,9.75,"The Pepperoni Pizza",Classic,"Mozzarella Cheese, Pepperoni","['Mozzarella Cheese', 'Pepperoni']"
79,32,big_meat_s,1,2015-01-01,15:53:18,big_meat,S,12,"The Big Meat Pizza",Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage","['Bacon', 'Pepperoni', 'Italian Sausage', 'Chorizo Sausage']"
80,32,green_garden_l,1,2015-01-01,15:53:18,green_garden,L,20.25,"The Green Garden Pizza",Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese","['Spinach', 'Mushrooms', 'Tomatoes', 'Green Olives', 'Feta Cheese']"
81,32,ital_cpcllo_l,1,2015-01-01,15:53:18,ital_cpcllo,L,20.5,"The Italian Capocollo Pizza",Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano","['Capocollo', 'Red Peppers', 'Tomatoes', 'Goat Cheese', 'Garlic', 'Oregano']"
82,32,ital_supr_m,1,2015-01-01,15:53:18,ital_supr,M,16.5,"The Italian Supreme Pizza",Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic","['Calabrese Salami', 'Capocollo', 'Tomatoes', 'Red Onions', 'Green Olives', 'Garlic']"
83,33,bbq_ckn_l,1,2015-01-01,15:54:08,bbq_ckn,L,20.75,"The Barbecue Chicken Pizza",Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce","['Barbecued Chicken', 'Red Peppers', 'Green Peppers', 'Tomatoes', 'Red Onions', 'Barbecue Sauce']"
84,33,green_garden_s,1,2015-01-01,15:54:08,green_garden,S,12,"The Green Garden Pizza",Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese","['Spinach', 'Mushrooms', 'Tomatoes', 'Green Olives', 'Feta Cheese']"
85,34,the_greek_s,1,2015-01-01,16:21:21,the_greek,S,12,"The Greek Pizza",Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions","['Kalamata Olives', 'Feta Cheese', 'Tomatoes', 'Garlic', 'Beef Chuck Roast', 'Red Onions']"
86,35,green_garden_m,1,2015-01-01,16:32:04,green_garden,M,16,"The Green Garden Pizza",Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese","['Spinach', 'Mushrooms', 'Tomatoes', 'Green Olives', 'Feta Cheese']"
87,35,pep_msh_pep_l,1,2015-01-01,16:32:04,pep_msh_pep,L,17.5,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,"Pepperoni, Mushrooms, Green Peppers","['Pepperoni', 'Mushrooms', 'Green Peppers']"
88,35,pepperoni_m,1,2015-01-01,16:32:04,pepperoni,M,12.5,"The Pepperoni Pizza",Classic,"Mozzarella Cheese, Pepperoni","['Mozzarella Cheese', 'Pepperoni']"
89,35,thai_ckn_l,1,2015-01-01,16:32:04,thai_ckn,L,20.75,"The Thai Chicken Pizza",Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce","['Chicken', 'Pineapple', 'Tomatoes', 'Red Peppers', 'Thai Sweet Chilli Sauce']"
